id,name,latitude,longitude,address,hash_tags,unique_page
92,PoutineVille,45.523229,-73.561261,1365 Rue Ontario E,"Poutine,Burgers,Salads,Sandwiches",https://www.restomontreal.ca/resto/poutineville-village-centre-sud/5002/en/
93,Thammada,45.520507,-73.608807,1205 Avenue Bernard,"Thai,Asian,Vegetarian,Tapas,Grill,Salads",https://www.restomontreal.ca/resto/thammada-outremont/13409/en/
94,Rutba,45.514379,-73.57317,3633 Boulevard St-Laurent,"Indian,Vegetarian",https://www.restomontreal.ca/resto/rutba-le-plateau/17845/en/
95,Zyara,45.533772,-73.654788,1004 Rue du Marché Central,"Lebanese,Mediterranean,Vegetarian,Gluten-free Options",https://www.restomontreal.ca/resto/zyara-ahuntsic-cartierville/6615/en/
96,Cerise Buvette,45.54509,-73.666746,234 Rue Fleury O,"Market,Tapas,Creative,Regional,Vegetarian,Buvette",https://www.restomontreal.ca/resto/cerise-buvette-ahuntsic-cartierville/14887/en/
97,Ibéricos Taverne à Tapas Espagnoles,45.523902,-73.58243,4475 Rue Saint-Denis,"Spanish,Tapas,Café,Market,Sandwiches,Basque",https://www.restomontreal.ca/resto/ibericos-le-plateau/11112/en/
98,New Restaurant Pulcinella,45.537091,-73.612182,6950 Rue St-Denis,"Italian,Pasta,Seafood/Fish,Tartare,Grill",https://www.restomontreal.ca/resto/restaurant-pulcinella-little-italy/19246/en/
99,Birreria ITALI.CO,45.498631,-73.706404,3131 Boulevard de la Cote-Vertu,"Italian,Tapas,American,Pizza,Burgers,Mediterranean",https://www.restomontreal.ca/resto/birreria-itali-co-ville-saint-laurent/9843/en/
100,PoutineVille,45.482258,-73.630617,5405 Queen Mary Rd,"Poutine,Burgers,Salads,Sandwiches",https://www.restomontreal.ca/resto/poutineville-notre-dame-de-grace-ndg/13100/en/
101,Salle de réception le Salon Bleu,45.543757,-73.620077,7618 Rue St-Hubert,"Peruvian,Latin American,Seafood/Fish,Grill,Gluten-free Options",https://www.restomontreal.ca/resto/salle-de-reception-le-salon-bleu-villeray-saint-michel/17007/en/
