id,name,latitude,longitude,address,hash_tags,unique_page
68,Café du Théâtre - Brasserie Française,45.441052,-73.440323,6000 Boulevard de Rome,"French,Regional,Café,Bistro,Breakfast,Tartare",https://www.restomontreal.ca/resto/cafe-du-theatre-brasserie-francaise-brossard/8542/en/
69,Montreal Kebab,45.50719,-73.552505,138 Rue St-Paul E,"Lebanese,Mediterranean,Vegetarian,Halal,Grill,Middle Eastern",https://www.restomontreal.ca/resto/montreal-kebab-old-montreal/12529/en/
70,La Vieille Banque,45.614598,-73.786008,205 Boulevard Ste-Rose,"Italian,Mediterranean,Wild Game,Seafood/Fish,Grill,Pasta",https://www.restomontreal.ca/resto/la-vieille-banque-sainte-rose/5172/en/
71,Le B-38 Sushi et Poke,45.571979,-73.571786,5003 Rue Beaubien E,"Japanese,Sushi,Asian,Poke Bowl,Fusion,Vegetarian",https://www.restomontreal.ca/resto/le-b-38-sushi-et-poke-/12820/en/
72,Terrasse Nelligan,45.503983,-73.554215,"106 Rue St-Paul O, 5e étage","Grill,Bistro,Charcuterie",https://www.restomontreal.ca/resto/terrasse-nelligan-old-montreal/4647/en/
73,Skillz Cuisine,45.480046,-73.579956,3544 Rue Notre-Dame O,"Jamaican,Caribbean,Grill,Seafood/Fish",https://www.restomontreal.ca/resto/skillz-cuisine-saint-henri/16469/en/
74,La Maison Grecque,45.521371,-73.575149,450 Avenue Duluth E,"Greek,Mediterranean,Grill,Tapas,Market,Vegetarian",https://www.restomontreal.ca/resto/la-maison-grecque-le-plateau/1288/en/
75,Café RICARDO,45.562016,-73.744895,150 Promenade du Centropolis,"Bistro,Breakfast,Regional,Desserts & Sweets,Tartare,Salads",https://www.restomontreal.ca/resto/cafe-ricardo-chomedey/12176/en/
76,PoutineVille,45.540492,-73.598829,1348 Rue Beaubien E,"Poutine,Burgers,Salads,Sandwiches",https://www.restomontreal.ca/resto/poutineville-rosemont-la-petite-patrie/4789/en/
77,Salon de thé Chaï Tea Lounge,45.509513,-73.57399,3506 Avenue du Parc,"Tea,Desserts & Sweets,Healthy,Sandwiches,Salads,Vegetarian",https://www.restomontreal.ca/resto/salon-chai-tea-lounge-le-plateau/5841/en/
78,Silva Grillades,45.538528,-73.510094,177 Rue St-Charles O.,"Steakhouse,Portuguese,Seafood/Fish,Grill",https://www.restomontreal.ca/resto/silva-grillades-longueuil/3437/en/
